Layer,Layer_Description,City,Country,Latitude,Longitude,Date,Moisture_Percent,Status,Description,Recommendation,Current_Percent,Average_Percent,Min_Percent,Max_Percent
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.21,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.21,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.22,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.22,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.22,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.2,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.19,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.19,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-01,24.19,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.2,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.22,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.28,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.26,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.24,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-02,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.24,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.25,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.26,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.25,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-03,24.24,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.24,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.25,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.26,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.25,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.23,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.22,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.25,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-04,24.26,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.27,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.27,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.43,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.41,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.37,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.35,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.36,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-05,24.36,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-06,24.36,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-06,24.37,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-06,24.37,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-06,24.35,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
sm_rootzone,Humidité du sol en zone racinaire (0-100cm),Cotonou,Benin,6.3667,2.3833,2025-01-06,24.33,moderate,Humidité modérée,"Surveiller, irrigation possible",23.87,24.09,23.83,24.58
